      #Energy        TDOS
      -5.14654       1.77100
      -5.14154       1.73700
      -5.13654       1.70700
      -5.13154       1.69400
      -5.12654       1.66600
      -5.12154       1.55400
      -5.11654       1.45800
      -5.11154       1.42900
      -5.10654       1.34600
      -5.10154       1.28000
      -5.09654       1.25200
      -5.09154       1.21500
      -5.08654       1.16000
      -5.08154       1.10100
      -5.07654       1.05400
      -5.07154       1.01900
      -5.06654       0.99600
      -5.06154       0.97100
      -5.05654       0.94220
      -5.05154       0.90990
      -5.04654       0.87960
      -5.04154       0.85270
      -5.03654       0.83090
      -5.03154       0.81140
      -5.02654       0.79170
      -5.02154       0.77140
      -5.01654       0.75040
      -5.01154       0.72890
      -5.00654       0.71040
      -5.00154       0.68680
      -4.99654       0.66480
      -4.99154       0.64760
      -4.98654       0.63140
      -4.98154       0.61410
      -4.97654       0.59540
      -4.97154       0.57550
      -4.96654       0.55790
      -4.96154       0.53470
      -4.95654       0.51480
      -4.95154       0.49830
      -4.94654       0.48320
      -4.94154       0.46670
      -4.93654       0.44900
      -4.93154       0.43810
      -4.92654       0.40550
      -4.92154       0.35310
      -4.91654       0.35050
      -4.91154       0.34790
      -4.90654       0.34530
      -4.90154       0.34280
      -4.89654       0.34030
      -4.89154       0.33780
      -4.88654       0.33530
      -4.88154       0.33280
      -4.87654       0.33040
      -4.87154       0.32790
      -4.86654       0.32550
      -4.86154       0.32300
      -4.85654       0.32060
      -4.85154       0.31820
      -4.84654       0.31580
      -4.84154       0.31340
      -4.83654       0.31110
      -4.83154       0.30870
      -4.82654       0.30640
      -4.82154       0.30410
      -4.81654       0.30180
      -4.81154       0.29950
      -4.80654       0.29730
      -4.80154       0.29500
      -4.79654       0.29280
      -4.79154       0.29060
      -4.78654       0.28850
      -4.78154       0.28620
      -4.77654       0.28390
      -4.77154       0.28160
      -4.76654       0.27950
      -4.76154       0.27750
      -4.75654       0.27570
      -4.75154       0.27390
      -4.74654       0.27230
      -4.74154       0.27060
      -4.73654       0.26890
      -4.73154       0.26730
      -4.72654       0.26560
      -4.72154       0.26400
      -4.71654       0.26230
      -4.71154       0.26070
      -4.70654       0.25910
      -4.70154       0.25740
      -4.69654       0.25580
      -4.69154       0.25420
      -4.68654       0.25540
      -4.68154       0.28750
      -4.67654       0.35790
      -4.67154       0.38670
      -4.66654       0.42030
      -4.66154       0.46030
      -4.65654       0.54230
      -4.65154       0.58890
      -4.64654       0.61130
      -4.64154       0.63260
      -4.63654       0.64970
      -4.63154       0.66790
      -4.62654       0.69550
      -4.62154       0.72880
      -4.61654       0.76400
      -4.61154       0.80100
      -4.60654       0.84090
      -4.60154       0.86850
      -4.59654       0.89750
      -4.59154       0.92680
      -4.58654       0.95770
      -4.58154       0.99130
      -4.57654       1.02800
      -4.57154       1.06800
      -4.56654       1.11000
      -4.56154       1.15400
      -4.55654       1.20700
      -4.55154       1.28700
      -4.54654       1.37700
      -4.54154       1.47000
      -4.53654       1.58900
      -4.53154       1.68900
      -4.52654       1.72000
      -4.52154       1.69100
      -4.51654       1.71100
      -4.51154       1.72800
      -4.50654       1.70500
      -4.50154       1.67100
      -4.49654       1.67500
      -4.49154       1.67500
      -4.48654       1.67200
      -4.48154       1.67600
      -4.47654       1.68000
      -4.47154       1.68400
      -4.46654       1.68800
      -4.46154       1.69100
      -4.45654       1.69100
      -4.45154       1.69100
      -4.44654       1.68900
      -4.44154       1.68800
      -4.43654       1.69400
      -4.43154       1.70000
      -4.42654       1.70600
      -4.42154       1.71200
      -4.41654       1.71800
      -4.41154       1.72500
      -4.40654       1.72900
      -4.40154       1.73700
      -4.39654       1.74500
      -4.39154       1.75300
      -4.38654       1.76000
      -4.38154       1.76800
      -4.37654       1.77500
      -4.37154       1.78100
      -4.36654       1.78400
      -4.36154       1.79200
      -4.35654       1.80000
      -4.35154       1.80700
      -4.34654       1.81300
      -4.34154       1.82000
      -4.33654       1.82700
      -4.33154       1.83400
      -4.32654       1.84200
      -4.32154       1.85000
      -4.31654       1.85800
      -4.31154       1.86700
      -4.30654       1.87500
      -4.30154       1.88200
      -4.29654       1.88900
      -4.29154       1.89600
      -4.28654       1.90200
      -4.28154       1.90700
      -4.27654       1.91200
      -4.27154       1.91800
      -4.26654       1.92400
      -4.26154       1.93000
      -4.25654       1.93700
      -4.25154       1.94400
      -4.24654       1.95100
      -4.24154       1.95800
      -4.23654       1.96500
      -4.23154       1.97200
      -4.22654       1.97900
      -4.22154       1.98700
      -4.21654       1.99300
      -4.21154       2.00000
      -4.20654       2.00600
      -4.20154       2.01300
      -4.19654       2.02000
      -4.19154       2.02800
      -4.18654       2.03700
      -4.18154       2.04400
      -4.17654       2.05200
      -4.17154       2.05900
      -4.16654       2.06700
      -4.16154       2.07400
      -4.15654       2.08100
      -4.15154       2.08800
      -4.14554       2.09400
      -4.14054       2.10000
      -4.13554       2.10600
      -4.13054       2.11200
      -4.12554       2.11900
      -4.12054       2.12700
      -4.11554       2.13400
      -4.11054       2.14300
      -4.10554       2.15100
      -4.10054       2.15800
      -4.09554       2.16600
      -4.09054       2.17500
      -4.08554       2.18400
      -4.08054       2.19500
      -4.07554       2.20800
      -4.07054       2.21700
      -4.06554       2.22700
      -4.06054       2.23600
      -4.05554       2.24400
      -4.05054       2.25100
      -4.04554       2.25900
      -4.04054       2.26800
      -4.03554       2.27800
      -4.03054       2.28700
      -4.02554       2.29300
      -4.02054       2.30000
      -4.01554       2.33700
      -4.01054       2.37300
      -4.00554       2.40000
      -4.00054       2.42600
      -3.99554       2.45000
      -3.99054       2.48000
      -3.98554       2.51600
      -3.98054       2.56600
      -3.97554       2.61500
      -3.97054       2.60200
      -3.96554       2.77000
      -3.96054       2.90100
      -3.95554       2.98100
      -3.95054       3.23800
      -3.94554       3.43900
      -3.94054       3.60200
      -3.93554       3.77600
      -3.93054       4.35800
      -3.92554       4.70300
      -3.92054       5.02200
      -3.91554       5.15000
      -3.91054       4.92700
      -3.90554       5.00300
      -3.90054       5.04400
      -3.89554       5.12300
      -3.89054       5.21100
      -3.88554       5.22500
      -3.88054       5.29400
      -3.87554       5.29900
      -3.87054       5.32700
      -3.86554       5.44100
      -3.86054       5.60400
      -3.85554       5.77900
      -3.85054       5.90700
      -3.84554       6.05200
      -3.84054       6.20000
      -3.83554       6.58700
      -3.83054       6.81600
      -3.82554       6.69800
      -3.82054       6.62600
      -3.81554       6.79200
      -3.81054       6.67900
      -3.80554       6.17000
      -3.80054       5.77100
      -3.79554       5.47600
      -3.79054       5.25300
      -3.78554       5.04600
      -3.78054       4.87600
      -3.77554       4.74200
      -3.77054       4.62800
      -3.76554       4.52400
      -3.76054       4.42600
      -3.75554       4.33500
      -3.75054       4.25100
      -3.74554       4.17500
      -3.74054       4.10300
      -3.73554       4.03600
      -3.73054       3.97200
      -3.72554       3.91100
      -3.72054       3.85200
      -3.71554       3.79200
      -3.71054       3.73700
      -3.70554       3.67900
      -3.70054       3.62500
      -3.69554       3.57600
      -3.69054       3.52900
      -3.68554       3.48500
      -3.68054       3.44400
      -3.67554       3.40500
      -3.67054       3.36900
      -3.66554       3.33300
      -3.66054       3.29800
      -3.65554       3.26500
      -3.65054       3.23200
      -3.64554       3.19900
      -3.64054       3.16600
      -3.63554       3.13300
      -3.63054       3.10200
      -3.62554       3.07200
      -3.62054       3.04100
      -3.61554       3.00700
      -3.61054       2.97700
      -3.60554       2.94900
      -3.60054       2.92200
      -3.59554       2.89600
      -3.59054       2.87000
      -3.58554       2.84500
      -3.58054       2.82100
      -3.57554       2.79800
      -3.57054       2.77500
      -3.56554       2.75300
      -3.56054       2.73000
      -3.55554       2.70800
      -3.55054       2.68600
      -3.54554       2.66400
      -3.54054       2.64300
      -3.53554       2.62300
      -3.53054       2.60300
      -3.52554       2.58300
      -3.52054       2.56200
      -3.51554       2.54000
      -3.51054       2.52000
      -3.50554       2.50000
      -3.50054       2.48100
      -3.49554       2.46300
      -3.49054       2.44500
      -3.48554       2.42700
      -3.48054       2.41000
      -3.47554       2.39300
      -3.47054       2.37700
      -3.46554       2.36100
      -3.46054       2.34500
      -3.45554       2.32900
      -3.45054       2.31300
      -3.44554       2.29800
      -3.44054       2.28300
      -3.43554       2.26800
      -3.43054       2.25300
      -3.42554       2.23900
      -3.42054       2.22400
      -3.41554       2.21000
      -3.41054       2.19400
      -3.40554       2.18000
      -3.40054       2.16600
      -3.39554       2.15200
      -3.39054       2.13800
      -3.38554       2.12400
      -3.38054       2.11100
      -3.37554       2.09700
      -3.37054       2.08400
      -3.36554       2.07100
      -3.36054       2.05800
      -3.35554       2.04600
      -3.35054       2.03300
      -3.34554       2.02000
      -3.34054       2.00800
      -3.33554       1.99500
      -3.33054       1.98300
      -3.32554       1.97100
      -3.32054       1.95800
      -3.31554       1.94600
      -3.31054       1.93500
      -3.30554       1.92300
      -3.30054       1.91200
      -3.29554       1.90100
      -3.29054       1.89000
      -3.28554       1.87900
      -3.28054       1.86800
      -3.27554       1.85800
      -3.27054       1.84700
      -3.26554       1.83700
      -3.26054       1.82800
      -3.25554       1.81800
      -3.25054       1.80900
      -3.24554       1.80000
      -3.24054       1.79100
      -3.23554       1.78200
      -3.23054       1.77300
      -3.22554       1.76300
      -3.22054       1.75400
      -3.21554       1.74400
      -3.21054       1.73400
      -3.20554       1.72500
      -3.20054       1.71600
      -3.19554       1.70900
      -3.19054       1.70300
      -3.18554       1.69500
      -3.18054       1.68600
      -3.17554       1.67800
      -3.17054       1.66900
      -3.16554       1.66100
      -3.16054       1.65200
      -3.15554       1.64200
      -3.15054       1.63300
      -3.14554       1.62300
      -3.14054       1.61400
      -3.13554       1.60400
      -3.13054       1.59500
      -3.12554       1.58400
      -3.12054       1.57400
      -3.11554       1.56500
      -3.11054       1.55700
      -3.10554       1.54900
      -3.10054       1.54300
      -3.09554       1.54000
      -3.09054       1.54200
      -3.08554       1.54600
      -3.08054       1.54600
      -3.07554       1.54400
      -3.07054       1.54100
      -3.06554       1.53600
      -3.06054       1.53000
      -3.05554       1.52200
      -3.05054       1.51400
      -3.04554       1.50600
      -3.04054       1.49400
      -3.03554       1.48500
      -3.03054       1.48000
      -3.02554       1.47800
      -3.02054       1.48100
      -3.01554       1.49400
      -3.01054       1.50700
      -3.00554       1.52500
      -3.00054       1.55600
      -2.99554       1.58600
      -2.99054       1.63600
      -2.98554       1.61800
      -2.98054       1.67800
      -2.97554       1.71400
      -2.97054       1.78000
      -2.96554       1.74000
      -2.96054       1.61400
      -2.95554       1.37900
      -2.95054       1.10700
      -2.94554       0.90150
      -2.94054       0.77680
      -2.93554       0.67960
      -2.93054       0.60340
      -2.92554       0.54180
      -2.92054       0.47830
      -2.91554       0.36350
      -2.91054       0.21190
      -2.90554       0.05751
      -2.90054       0.00250
      -2.89554       0.00478
      -2.89054       0.00723
      -2.88554       0.00974
      -2.88054       0.01232
      -2.87554       0.01495
      -2.87054       0.01766
      -2.86554       0.02042
      -2.86054       0.02326
      -2.85554       0.02615
      -2.85054       0.02911
      -2.84554       0.03213
      -2.84054       0.03522
      -2.83554       0.03837
      -2.83054       0.04158
      -2.82554       0.04486
      -2.82054       0.04820
      -2.81554       0.05161
      -2.81054       0.05508
      -2.80554       0.05861
      -2.80054       0.06221
      -2.79554       0.06570
      -2.79054       0.06894
      -2.78554       0.07218
      -2.78054       0.07536
      -2.77554       0.07848
      -2.77054       0.08179
      -2.76554       0.08509
      -2.76054       0.08837
      -2.75554       0.09164
      -2.75054       0.09490
      -2.74554       0.09843
      -2.74054       0.10200
      -2.73554       0.10560
      -2.73054       0.10910
